Ranking;Country;Regional indicator;Happiness score;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Year
129;Bulgaria;Central and Eastern Europe;4,21700;9,97792;0,78209;71;0,34872;0,15607;0,01218;2016
72;Estonia;Western Europe;5,51700;9,99915;0,88875;72;0,68221;0,10275;0,36656;2016
51;Ecuador;Latin America and Caribbean;5,97600;9,99859;0,72659;72;0,66181;0,12289;0,35702;2016
57;Poland;Western Europe;5,83500;9,97051;0,88472;72;0,74267;0,17620;0,10886;2016
26;Argentina;Latin America and Caribbean;6,65000;9,92469;0,90101;72;0,69490;0,13406;0,14442;2016
45;Slovakia;Western Europe;6,07800;9,81447;0,91499;72;0,38441;0,16881;0,05834;2016
74;Croatia;Central and Eastern Europe;5,48800;9,69673;0,51391;73;0,39290;0,22489;0,07922;2016
87;Bosnia and Herzegovina;Central and Eastern Europe;5,16300;9,77892;0,54398;73;0,15631;0,36463;0,00000;2016
25;Panama;Latin America and Caribbean;6,70100;9,96471;0,83593;73;0,80409;0,29498;0,16672;2016
21;Mexico;Latin America and Caribbean;6,77800;9,97271;0,60393;73;0,61972;0,14317;0,36331;2016
36;Qatar;Middle East and North Africa;6,37500;10,00000;0,74340;73;0,93147;0,39511;0,95108;2016
29;Uruguay;Latin America and Caribbean;6,54500;9,98467;0,87168;73;0,89382;0,22027;0,42346;2016
28;United Arab Emirates;Middle East and North Africa;6,57300;9,96966;0,73622;74;0,92385;0,32439;0,70389;2016
109;Albania;Central and Eastern Europe;4,65500;9,77705;0,42394;74;0,52370;0,20543;0,10493;2016
83;China;East Asia;5,24500;9,99912;0,67087;74;0,72331;0,06049;0,05434;2016
14;Costa Rica;Latin America and Caribbean;7,08700;9,93240;0,86331;75;0,90759;0,27513;0,20876;2016
93;Lebanon;Middle East and North Africa;5,12900;9,98855;0,54243;75;0,43104;0,28904;0,06058;2016
27;Czech Republic;Western Europe;6,59600;9,97896;0,85183;75;0,68067;0,12112;0,07889;2016
15;Puerto Rico;Latin America and Caribbean;7,03900;9,99959;0,91369;75;0,76951;0,27085;0,24297;2016
13;United States;North America and ANZ;7,10400;9,97785;0,88553;75;0,79153;0,50111;0,29430;2016
63;Slovenia;Western Europe;5,76800;9,92202;0,89256;76;0,87371;0,31399;0,07195;2016
94;Portugal;Western Europe;5,12300;9,96600;0,79752;76;0,73505;0,14262;0,03010;2016
1;Denmark;Western Europe;7,52600;9,97766;0,98351;76;0,95223;0,44126;0,87990;2016
35;Taiwan;East Asia;6,37900;9,95173;0,78279;76;0,53210;0,31103;0,13124;2016
4;Norway;Western Europe;7,49800;9,70015;0,95237;76;0,97963;0,46229;0,70814;2016
99;Greece;Western Europe;5,03300;9,97503;0,63784;76;0,09568;0,00000;0,08169;2016
30;Malta;Western Europe;6,48800;9,98752;0,92861;76;0,90379;0,68605;0,34747;2016
12;Austria;Western Europe;7,11900;9,98799;0,91597;77;0,89329;0,40093;0,42257;2016
23;United Kingdom;Western Europe;6,72500;9,97265;0,91841;77;0,82231;0,61188;0,54233;2016
5;Finland;Western Europe;7,41300;9,83367;0,95891;77;0,93846;0,31099;0,81162;2016
7;Netherlands;Western Europe;7,33900;9,84579;0,86974;77;0,90736;0,57844;0,59237;2016
19;Ireland;Western Europe;6,90700;9,94988;0,98167;77;0,88759;0,54852;0,58894;2016
16;Germany;Western Europe;6,99400;9,97881;0,92772;77;0,87868;0,37150;0,56513;2016
24;Chile;Latin America and Caribbean;6,70500;9,98816;0,76557;77;0,62104;0,38544;0,22665;2016
18;Belgium;Western Europe;6,92900;9,98917;0,88948;77;0,84396;0,29571;0,51954;2016
6;Canada;North America and ANZ;7,40400;9,99918;0,92634;77;0,94284;0,54695;0,62012;2016
8;New Zealand;North America and ANZ;7,33400;9,82821;0,99115;78;0,95561;0,60266;0,82945;2016
10;Sweden;Western Europe;7,29100;9,89265;0,91919;78;0,95678;0,46667;0,80891;2016
32;France;Western Europe;6,47800;9,97900;0,84942;78;0,76521;0,14835;0,35249;2016
62;North Cyprus;Western Europe;5,77100;9,93374;0,69153;78;0,71647;0,32111;0,32815;2016
20;Luxembourg;Western Europe;6,87100;9,15144;0,87892;78;0,90176;0,33635;0,69930;2016
69;Cyprus;Western Europe;5,54600;9,93412;0,59748;78;0,48492;0,34044;0,10348;2016
11;Israel;Middle East and North Africa;7,26700;9,95569;0,84121;78;0,59874;0,39389;0,17276;2016
50;Italy;Western Europe;5,97700;9,95971;0,88034;78;0,30940;0,20353;0,05059;2016
9;Australia;North America and ANZ;7,31300;9,97098;0,93365;78;0,93407;0,57834;0,63995;2016
2;Switzerland;Western Europe;7,50900;9,64149;0,96787;79;0,96235;0,34259;0,81557;2016
3;Iceland;Western Europe;7,50100;9,88557;1,00000;79;0,93058;0,58165;0,29641;2016
37;Spain;Western Europe;6,36100;9,88808;0,95452;79;0,61702;0,21550;0,12148;2016
58;South Korea;East Asia;5,83500;9,98936;0,61012;80;0,41362;0,22964;0,15272;2016
53;Japan;East Asia;5,92100;9,87032;0,89629;81;0,76848;0,12473;0,37579;2016
22;Singapore;East Asia;6,73900;9,62602;0,73321;82;0,80150;0,39900;0,93005;2016
75;Hong Kong;East Asia;5,45800;9,86699;0,73543;82;0,79014;0,48916;0,62641;2016
3;Iceland;Western Europe;7,50400;7,91458;1,00000;71;0,95277;0,56742;0,33066;2017
15;Ireland;Western Europe;6,97700;8,20897;0,96750;71;0,87066;0,51053;0,64265;2017
2;Denmark;Western Europe;7,52200;7,92394;0,96309;70;0,95102;0,42392;0,86316;2017
47;Uzbekistan;Commonwealth of Independent States;5,97100;4,20385;0,96175;62;1,00000;0,49636;0,53096;2017
8;New Zealand;North America and ANZ;7,31400;7,51407;0,96127;71;0,93287;0,59661;0,82449;2017
5;Finland;Western Europe;7,46900;7,71648;0,95633;71;0,93878;0,29291;0,82405;2017
1;Norway;Western Europe;7,53700;8,64065;0,95216;70;0,96532;0,43196;0,68051;2017
34;Spain;Western Europe;6,40300;7,40017;0,95127;73;0,62101;0,22687;0,15273;2017
4;Switzerland;Western Europe;7,49400;8,36545;0,94185;72;0,94200;0,34669;0,79044;2017
9;Australia;North America and ANZ;7,28400;7,93480;0,93758;72;0,91395;0,57000;0,64867;2017
70;Paraguay;Latin America and Caribbean;5,49300;4,98479;0,93587;64;0,71934;0,26746;0,19613;2017
40;Slovakia;Central and Eastern Europe;6,09800;7,08477;0,93449;68;0,44940;0,16293;0,05214;2017
19;United Kingdom;Western Europe;6,71400;7,70612;0,92915;71;0,77203;0,58798;0,57166;2017
59;Turkmenistan;Commonwealth of Independent States;5,82200;6,04446;0,92709;60;0,63543;0,29821;0,55840;2017
100;Mongolia;East Asia;4,95500;5,49099;0,92701;63;0,59878;0,40386;0,07086;2017
27;Malta;Western Europe;6,52700;7,18037;0,92415;71;0,89444;0,68577;0,32967;2017
7;Canada;North America and ANZ;7,31600;7,90695;0,91976;71;0,92837;0,51969;0,61892;2017
10;Sweden;Western Europe;7,28400;7,98810;0,91779;71;0,93114;0,45986;0,82790;2017
66;Estonia;Western Europe;5,61100;7,06063;0,91686;67;0,72789;0,11800;0,39467;2017
52;Lithuania;Western Europe;5,90200;7,02697;0,91490;65;0,35584;0,01213;0,02556;2017
16;Germany;Western Europe;6,95100;7,95355;0,91428;70;0,85456;0,40124;0,59601;2017
49;Russia;Commonwealth of Independent States;5,96300;6,85162;0,91227;63;0,56784;0,06236;0,07099;2017
17;Belgium;Western Europe;6,89100;7,82450;0,90795;71;0,82001;0,27623;0,54133;2017
13;Austria;Western Europe;7,00600;7,94914;0,90647;71;0,86254;0,37762;0,47611;2017
18;Luxembourg;Western Europe;6,86300;9,31139;0,90501;72;0,90639;0,33789;0,68669;2017
62;Slovenia;Central and Eastern Europe;5,75800;7,16929;0,90186;70;0,86985;0,28953;0,09720;2017
46;Poland;Central and Eastern Europe;5,97300;6,90513;0,89764;68;0,79049;0,18908;0,12773;2017
67;Belarus;Commonwealth of Independent States;5,56900;6,18227;0,89716;66;0,44877;0,18511;0,33666;2017
48;Italy;Western Europe;5,96400;7,45720;0,89715;72;0,38960;0,20617;0,06037;2017
24;Argentina;Latin America and Caribbean;6,59900;6,33588;0,89437;67;0,75127;0,13061;0,12866;2017
51;Japan;East Asia;5,92000;7,57399;0,89182;74;0,76814;0,14387;0,35270;2017
105;Bulgaria;Central and Eastern Europe;4,71400;6,20847;0,89060;68;0,43940;0,13504;0,02380;2017
23;Czech Republic;Central and Eastern Europe;6,60900;7,23063;0,89029;69;0,74584;0,10513;0,07941;2017
82;Venezuela;Latin America and Caribbean;5,25000;6,03192;0,88871;65;0,23395;0,07758;0,13890;2017
22;Brazil;Latin America and Caribbean;6,63500;5,91925;0,88869;65;0,66457;0,19372;0,23927;2017
6;Netherlands;Western Europe;7,37700;8,03919;0,88722;71;0,88931;0,56139;0,60878;2017
32;Thailand;Southeast Asia;6,42400;6,02892;0,88527;66;0,88143;0,68266;0,06809;2017
14;United States;North America and ANZ;6,99300;8,26538;0,88162;70;0,76831;0,46843;0,29213;2017
12;Costa Rica;Latin America and Caribbean;7,07900;5,93183;0,87944;69;0,88133;0,25608;0,21560;2017
28;Uruguay;Latin America and Caribbean;6,45400;6,50835;0,87685;68;0,88020;0,20893;0,38350;2017
54;Latvia;Western Europe;5,85000;6,73921;0,87218;66;0,49481;0,18265;0,15904;2017
86;Dominican Republic;Latin America and Caribbean;5,23000;5,76969;0,87076;64;0,83948;0,22309;0,24541;2017
36;Colombia;Latin America and Caribbean;6,35700;5,72291;0,87061;64;0,72539;0,17781;0,10051;2017
132;Ukraine;Commonwealth of Independent States;4,09600;4,78228;0,86586;64;0,18682;0,32224;0,04960;2017
98;Kyrgyzstan;Commonwealth of Independent States;5,00400;3,18704;0,86568;63;0,69114;0,51139;0,08494;2017
31;France;Western Europe;6,44200;7,64887;0,86167;72;0,71435;0,15483;0,37153;2017
101;South Africa;Sub-Saharan Africa;4,82900;5,63779;0,85981;53;0,72806;0,16629;0,15617;2017
33;Taiwan Province of China;East Asia;6,42200;7,66331;0,85967;70;0,54913;0,30828;0,13747;2017
60;Kazakhstan;Commonwealth of Independent States;5,81900;6,86647;0,85955;65;0,66457;0,24099;0,25690;2017
38;Trinidad and Tobago;Latin America and Caribbean;6,16800;7,27700;0,85698;62;0,78789;0,38815;0,01931;2017
11;Israel;Middle East and North Africa;7,21300;7,35198;0,85453;72;0,61677;0,39386;0,18359;2017
30;Panama;Latin America and Caribbean;6,45200;6,59488;0,85261;68;0,83559;0,25124;0,15288;2017
76;Jamaica;Latin America and Caribbean;5,31100;4,94760;0,84952;66;0,72056;0,27899;0,11903;2017
89;Portugal;Western Europe;5,19500;7,03014;0,84879;70;0,75726;0,11348;0,03418;2017
68;Libya;Middle East and North Africa;5,52500;5,88958;0,84291;62;0,70753;0,18146;0,19946;2017
26;Singapore;Southeast Asia;6,57200;9,04591;0,84058;75;0,83531;0,41281;1,00000;2017
75;Hungary;Central and Eastern Europe;5,32400;6,87425;0,83395;67;0,26717;0,09355;0,07891;2017
97;Bhutan;South Asia;5,01100;4,73291;0,83208;62;0,76193;0,56565;0,37342;2017
69;Turkey;Middle East and North Africa;5,50000;6,40526;0,83061;66;0,45688;0,05571;0,21467;2017
41;Bahrain;Middle East and North Africa;6,08700;7,95617;0,82151;66;0,81542;0,20603;0,55360;2017
43;Nicaragua;Latin America and Caribbean;6,07100;3,94116;0,79923;66;0,67991;0,35996;0,28147;2017
37;Saudi Arabia;Middle East and North Africa;6,34400;8,18180;0,79889;64;0,68325;0,17614;0,58890;2017
44;Ecuador;Latin America and Caribbean;6,00800;5,34979;0,79858;67;0,69153;0,17912;0,30181;2017
42;Malaysia;Southeast Asia;6,08400;6,90207;0,79763;65;0,61111;0,49710;0,14129;2017
20;Chile;Latin America and Caribbean;6,65200;6,69664;0,79725;71;0,57257;0,38978;0,17723;2017
127;Mali;Sub-Saharan Africa;4,19000;2,54538;0,79566;52;0,46580;0,21878;0,22608;2017
94;Vietnam;Southeast Asia;5,07400;4,21511;0,79319;66;0,86754;0,28037;0,18874;2017
81;Indonesia;Southeast Asia;5,26200;5,32156;0,79130;62;0,67349;0,72989;0,03299;2017
35;Qatar;Middle East and North Africa;6,37500;10,00000;0,79121;68;0,91779;0,39432;0,94614;2017
123;Mauritania;Middle East and North Africa;4,29200;3,46627;0,78980;56;0,14599;0,24087;0,29497;2017
96;Tajikistan;Commonwealth of Independent States;5,04100;2,80481;0,78945;63;0,71640;0,29711;0,31526;2017
21;United Arab Emirates;Middle East and North Africa;6,64800;8,69346;0,78631;68;0,92419;0,43068;0,69887;2017
71;Hong Kong S.A.R. of China;East Asia;5,47200;8,29433;0,78406;75;0,74587;0,44682;0,63306;2017
120;Sri Lanka;South Asia;4,44000;5,39806;0,78232;65;0,85259;0,58570;0,15863;2017
39;Kuwait;Middle East and North Africa;6,10500;8,72879;0,78214;66;0,75403;0,27240;0,46340;2017
73;Serbia;Central and Eastern Europe;5,39500;5,71594;0,78121;66;0,31708;0,26266;0,08810;2017
29;Guatemala;Latin America and Caribbean;6,45400;4,66120;0,77959;63;0,80716;0,33826;0,16632;2017
72;Philippines;Southeast Asia;5,43000;4,58475;0,77855;61;0,88905;0,23090;0,21394;2017
56;Moldova;Central and Eastern Europe;5,83800;3,89611;0,77725;64;0,36571;0,24912;0,02173;2017
87;Greece;;5,22700;6,89283;0,76955;71;0,14543;0,00000;0,09324;2017
74;Jordan;Middle East and North Africa;5,33600;5,29736;0,76935;65;0,63566;0,20544;0,25803;2017
83;Montenegro;Central and Eastern Europe;5,23700;5,99289;0,76890;67;0,29622;0,23615;0,18990;2017
126;Congo (Kinshasa);Sub-Saharan Africa;4,28000;0,49232;0,76310;53;0,35847;0,29407;0,12974;2017
58;Bolivia;Latin America and Caribbean;5,82300;4,45677;0,76222;61;0,84882;0,26914;0,13025;2017
142;Botswana;Sub-Saharan Africa;3,76600;5,99805;0,75846;57;0,76749;0,11854;0,21232;2017
63;Peru;Latin America and Caribbean;5,71500;5,53370;0,75673;66;0,68364;0,15132;0,10133;2017
95;Nigeria;Sub-Saharan Africa;5,07400;4,18949;0,75487;49;0,60001;0,27557;0,05626;2017
130;Sudan;Western Europe;4,13900;3,52538;0,75377;56;0,02278;0,21754;0,19351;2017
25;Mexico;Latin America and Caribbean;6,57800;6,16423;0,75182;68;0,62701;0,14437;0,28596;2017
64;Mauritius;Sub-Saharan Africa;5,62900;6,35780;0,75101;66;0,74629;0,43067;0,09085;2017
92;Macedonia;Central and Eastern Europe;5,17500;5,69060;0,74998;66;0,49511;0,30279;0,12982;2017
139;Lesotho;Sub-Saharan Africa;3,80800;2,78507;0,73893;47;0,59349;0,18793;0,25650;2017
61;North Cyprus;Middle East and North Africa;5,81000;7,19979;0,73657;71;0,71584;0,31840;0,33459;2017
45;El Salvador;Latin America and Caribbean;6,00300;4,86317;0,73398;65;0,65697;0,09338;0,19380;2017
115;Senegal;Sub-Saharan Africa;4,53500;2,56210;0,73247;59;0,57413;0,21892;0,24867;2017
99;Nepal;South Asia;4,96200;2,56483;0,73221;62;0,66891;0,47024;0,15717;2017
79;China;East Asia;5,27300;5,77927;0,72076;69;0,71825;0,03437;0,04909;2017
103;Palestinian Territories;Middle East and North Africa;4,77500;3,82864;0,71754;64;0,38695;0,13623;0,19229;2017
118;Gabon;Sub-Saharan Africa;4,46500;6,40492;0,71752;58;0,47448;0,05225;0,16379;2017
85;Azerbaijan;Commonwealth of Independent States;5,23400;6,16647;0,71552;63;0,60487;0,05402;0,38980;2017
57;Romania;Central and Eastern Europe;5,82500;6,50901;0,71409;67;0,69427;0,15932;0,00945;2017
53;Argelia;Middle East and North Africa;5,87200;5,83646;0,71168;65;0,35448;0,08285;0,31465;2017
91;Honduras;Latin America and Caribbean;5,18100;3,90521;0,71027;64;0,52880;0,28182;0,15797;2017
78;Kosovo;Central and Eastern Europe;5,27900;5,08607;0,70649;63;0,39542;0,38175;0,12378;2017
65;Cyprus;Western Europe;5,62100;7,24804;0,70246;72;0,53948;0,32366;0,08882;2017
133;Uganda;Sub-Saharan Africa;4,08100;2,03890;0,70151;54;0,67328;0,38871;0,12291;2017
88;Lebanon;Middle East and North Africa;5,22500;5,74624;0,70138;69;0,43831;0,31555;0,08080;2017
55;South Korea;East Asia;5,83800;7,49254;0,70054;73;0,39183;0,24661;0,13629;2017
114;Myanmar;Southeast Asia;4,54500;1,96235;0,69741;59;0,78161;1,00000;0,40666;2017
140;Angola;Sub-Saharan Africa;3,79500;4,58865;0,68573;49;0,00000;0,11685;0,15016;2017
111;Namibia;Sub-Saharan Africa;4,57400;5,15529;0,68204;57;0,79044;0,09204;0,20061;2017
138;Zimbabwe;Sub-Saharan Africa;3,87500;2,00905;0,67249;53;0,51103;0,22569;0,20541;2017
50;Belize;Latin America and Caribbean;5,95600;4,85350;0,67145;60;0,83177;0,28639;0,20801;2017
90;Bosnia and Herzegovina;Central and Eastern Europe;5,18200;5,25138;0,66395;68;0,31053;0,39241;0,00000;2017
112;Kenya;Sub-Saharan Africa;4,55300;2,99599;0,66309;56;0,68783;0,53081;0,13922;2017
134;Burkina Faso;Sub-Saharan Africa;4,03200;1,87211;0,64777;54;0,49277;0,29933;0,25916;2017
153;Tanzania;Sub-Saharan Africa;3,34900;2,73223;0,64697;58;0,59251;0,42270;0,14222;2017
121;Armenia;Commonwealth of Independent States;4,37600;4,81405;0,62554;66;0,30126;0,09962;0,05745;2017
129;Cambodia;Southeast Asia;4,16800;3,21668;0,62477;60;0,96221;0,46049;0,14668;2017
116;Zambia;Sub-Saharan Africa;4,51400;3,40185;0,62288;55;0,70126;0,29780;0,16845;2017
104;Egypt;Middle East and North Africa;4,73500;5,29036;0,61933;62;0,42858;0,15348;0,24635;2017
135;Niger;Sub-Saharan Africa;4,02800;0,86556;0,61657;55;0,55246;0,27286;0,29845;2017
106;Sierra Leone;Sub-Saharan Africa;4,70900;1,96936;0,61105;47;0,48416;0,34966;0,15312;2017
117;Iraq;Middle East and North Africa;4,49700;5,89443;0,60762;62;0,43837;0,23821;0,23092;2017
77;Croatia;Central and Eastern Europe;5,29300;6,53506;0,60102;68;0,38856;0,29592;0,09283;2017
137;Chad;Sub-Saharan Africa;3,93600;2,34136;0,59225;48;0,24663;0,25787;0,11540;2017
107;Cameroon;Sub-Saharan Africa;4,69500;3,01644;0,58738;51;0,65384;0,28195;0,11050;2017
151;Rwanda;Sub-Saharan Africa;3,47100;1,97110;0,58719;57;0,88393;0,30159;0,98043;2017
146;Yemen;Middle East and North Africa;3,59300;3,16279;0,58078;56;0,37898;0,12424;0,12226;2017
144;Madagascar;Sub-Saharan Africa;3,64400;1,63467;0,56689;58;0,28742;0,24906;0,14480;2017
128;Ivory Coast;Sub-Saharan Africa;4,18000;3,22354;0,56177;49;0,68015;0,24012;0,28012;2017
131;Ghana;Sub-Saharan Africa;4,12000;3,56659;0,54246;56;0,64265;0,30656;0,05457;2017
148;Liberia;Sub-Saharan Africa;3,53300;0,63633;0,54150;54;0,50571;0,31805;0,08388;2017
113;Mozambique;Sub-Saharan Africa;4,55000;1,25246;0,54062;50;0,73041;0,38449;0,38646;2017
102;Tunisia;Middle East and North Africa;4,80500;5,38424;0,53916;65;0,44008;0,05929;0,18678;2017
119;Ethiopia;Sub-Saharan Africa;4,46000;1,81334;0,53687;58;0,62111;0,37306;0,35635;2017
124;Congo (Brazzaville);Sub-Saharan Africa;4,29100;4,32424;0,51661;56;0,66088;0,14420;0,17148;2017
109;Albania;Central and Eastern Europe;4,64400;5,32505;0,49901;68;0,57957;0,24021;0,08586;2017
149;Guinea;Sub-Saharan Africa;3,50700;1,30722;0,49128;53;0,52957;0,31598;0,23893;2017
84;Morocco;Middle East and North Africa;5,23500;4,69388;0,48111;65;0,62007;0,03843;0,18902;2017
122;India;South Asia;4,31500;4,23474;0,46839;60;0,71400;0,27627;0,19863;2017
110;Bangladesh;South Asia;4,60800;3,13606;0,45644;63;0,72671;0,20554;0,26646;2017
93;Somalia;Sub-Saharan Africa;5,15100;0,12104;0,44776;51;0,91474;0,34798;0,60824;2017
108;Iran;Middle East and North Africa;4,69200;6,18396;0,44180;66;0,37877;0,46206;0,10502;2017
80;Pakistan;South Asia;5,26900;3,88549;0,41767;59;0,35733;0,37639;0,26781;2017
145;Haiti;Latin America and Caribbean;3,60300;1,97037;0,39765;55;0,04614;0,58372;0,21510;2017
154;Burundi;Sub-Saharan Africa;2,90500;0,48976;0,39104;52;0,09100;0,24393;0,18123;2017
147;South Sudan;Sub-Saharan Africa;3,59100;2,12345;0,37336;52;0,22341;0,34087;0,25154;2017
141;Afghanistan;South Asia;3,79400;2,14606;0,36108;53;0,16131;0,37213;0,13172;2017
125;Georgia;Commonwealth of Independent States;4,28600;5,08141;0,35429;66;0,47005;0,06444;0,54203;2017
136;Malawi;Sub-Saharan Africa;3,97000;1,24784;0,31825;56;0,70933;0,34265;0,15660;2017
143;Benin;Sub-Saharan Africa;3,65700;2,30433;0,27028;53;0,64712;0,24813;0,13123;2017
150;Togo;Sub-Saharan Africa;3,49500;1,63273;0,26815;54;0,57794;0,23494;0,20604;2017
152;Syria;Middle East and North Africa;3,46200;4,15420;0,24594;62;0,12387;0,58904;0,32596;2017
155;Central African Republic;Sub-Saharan Africa;2,69300;0,00000;0,00000;48;0,41146;0,33514;0,12183;2017
145;Afghanistan;South Asia;3,63150;2,01215;0,20121;59;0,11671;0,31964;0,07937;2018
112;Albania;Central and Eastern Europe;4,58600;5,55338;0,55534;70;0,57789;0,24970;0,07098;2018
84;Argelia;Middle East and North Africa;5,29460;5,93587;0,59359;68;0,10667;0,09237;0,29437;2018
142;Angola;Sub-Saharan Africa;3,79480;4,42773;0,44277;59;0,00000;0,13198;0,13409;2018
29;Argentina;Latin America and Caribbean;6,38800;6,50476;0,65048;69;0,78637;0,10366;0,11709;2018
129;Armenia;Commonwealth of Independent States;4,32060;4,95064;0,49506;68;0,35902;0,12894;0,06049;2018
10;Australia;North America and ANZ;7,27210;8,12558;0,81256;73;0,89240;0,60412;0,66165;2018
12;Austria;Western Europe;7,13940;8,13407;0,81341;73;0,85198;0,40499;0,48979;2018
87;Azerbaijan;Commonwealth of Independent States;5,20060;6,20973;0,62097;66;0,59332;0,05172;0,38622;2018
43;Bahrain;Middle East and North Africa;6,10510;8,11235;0,81123;68;0,82043;0,40655;0,26930;2018
115;Bangladesh;South Asia;4,50040;3,22814;0,32281;66;0,80007;0,25600;0,31470;2018
73;Belarus;Commonwealth of Independent States;5,48330;6,29925;0,62993;68;0,42414;0,16898;0,33780;2018
16;Belgium;Western Europe;6,92690;8,02595;0,80260;73;0,80429;0,31467;0,52606;2018
49;Belize;Latin America and Caribbean;5,95560;4,89207;0,48921;63;0,81818;0,30550;0,19389;2018
136;Benin;Sub-Saharan Africa;4,14140;2,29103;0,22910;58;0,60699;0,27317;0,14625;2018
97;Bhutan;South Asia;5,08210;4,82921;0,48292;65;0,74743;0,60915;0,37381;2018
62;Bolivia;Latin America and Caribbean;5,75190;4,55479;0,45548;64;0,83610;0,23621;0,11778;2018
93;Bosnia and Herzegovina;Central and Eastern Europe;5,12940;5,54813;0,55481;70;0,38691;0,36134;0,00000;2018
146;Botswana;Sub-Saharan Africa;3,58980;6,16459;0,61646;62;0,76855;0,07090;0,20189;2018
28;Brazil;Latin America and Caribbean;6,41890;5,97856;0,59786;68;0,68113;0,18451;0,19214;2018
100;Bulgaria;Central and Eastern Europe;4,93310;6,39420;0,63942;69;0,49519;0,10746;0,02044;2018
121;Burkina Faso;Sub-Saharan Africa;4,42440;1,90210;0,19021;59;0,43015;0,29362;0,27995;2018
156;Burundi;Sub-Saharan Africa;2,90450;0,55066;0,05507;56;0,08951;0,24918;0,16621;2018
120;Cambodia;Southeast Asia;4,43260;3,32717;0,33272;63;0,96122;0,42895;0,14208;2018
99;Cameroon;Sub-Saharan Africa;4,97530;3,24223;0,32422;57;0,62613;0,30590;0,09497;2018
7;Canada;North America and ANZ;7,32850;8,06773;0,80677;73;0,90143;0,53657;0,63660;2018
155;Central African Republic;Sub-Saharan Africa;3,08300;0,14496;0,01450;53;0,42138;0,36541;0,08391;2018
131;Chad;Sub-Saharan Africa;4,30060;2,16991;0,21699;54;0,26075;0,30259;0,13119;2018
25;Chile;Latin America and Caribbean;6,47620;6,86033;0,68603;71;0,59523;0,32976;0,13264;2018
86;China;East Asia;5,24580;5,99930;0,59993;71;0,82375;0,04795;0,22613;2018
37;Colombia;Latin America and Caribbean;6,26010;5,82411;0,58241;67;0,73353;0,16499;0,08628;2018
114;Congo (Brazzaville);Sub-Saharan Africa;4,55870;4,13327;0,41333;60;0,70919;0,15311;0,16916;2018
132;Congo (Kinshasa);Sub-Saharan Africa;4,24490;0,41979;0,04198;57;0,43113;0,33005;0,11434;2018
13;Costa Rica;Latin America and Caribbean;7,07170;6,12525;0,61252;71;0,87169;0,23980;0,22018;2018
82;Croatia;Central and Eastern Europe;5,32120;6,76097;0,67610;69;0,52503;0,20085;0,08523;2018
61;Cyprus;Middle East and North Africa;5,76250;7,45164;0,74516;73;0,58353;0,33886;0,07654;2018
21;Czech Republic;Central and Eastern Europe;6,71090;7,47985;0,74799;72;0,74901;0,10704;0,07361;2018
3;Denmark;Western Europe;7,55530;8,19350;0,81935;72;0,94310;0,47592;0,89266;2018
83;Dominican Republic;Latin America and Caribbean;5,30180;5,95300;0,59530;66;0,79820;0,20073;0,23139;2018
48;Ecuador;Latin America and Caribbean;5,97320;5,39197;0,53920;69;0,76765;0,19064;0,26294;2018
122;Egypt;Middle East and North Africa;4,41920;5,36904;0,53690;65;0,43076;0,15466;0,23331;2018
40;El Salvador;Latin America and Caribbean;6,16680;4,88660;0,48866;67;0,63587;0,10888;0,18018;2018
63;Estonia;Western Europe;5,73920;7,27703;0,72770;69;0,76302;0,14346;0,38048;2018
127;Ethiopia;Sub-Saharan Africa;4,35020;1,86731;0,18673;62;0,62376;0,36749;0,31958;2018
1;Finland;Western Europe;7,63210;7,91421;0,79142;72;0,93948;0,32070;0,85993;2018
23;France;Western Europe;6,48930;7,83956;0,78396;73;0,71818;0,16373;0,38447;2018
103;Gabon;Sub-Saharan Africa;4,75830;6,28407;0,62841;62;0,49178;0,05361;0,11282;2018
128;Georgia;Commonwealth of Independent States;4,34050;5,17439;0,51744;67;0,51823;0,06442;0,46992;2018
15;Germany;Western Europe;6,96470;8,12357;0,81236;72;0,80907;0,45768;0,61239;2018
108;Ghana;Sub-Saharan Africa;4,65700;3,58823;0,35882;60;0,68812;0,35439;0,06293;2018
79;Greece;Western Europe;5,35790;6,99674;0,69967;72;0,18072;0,00000;0,09730;2018
30;Guatemala;Latin America and Caribbean;6,38190;4,73802;0,47380;66;0,83412;0,29922;0,15453;2018
140;Guinea;Sub-Saharan Africa;3,96410;2,08427;0,20843;58;0,54428;0,31040;0,20532;2018
148;Haiti;Latin America and Caribbean;3,58200;1,90865;0,19087;59;0,03429;0,65657;0,22664;2018
72;Honduras;Latin America and Caribbean;5,50400;3,75752;0,37575;67;0,63304;0,32935;0,16102;2018
76;Hong Kong;East Asia;5,43040;8,52041;0,85204;76;0,72358;0,41245;0,63775;2018
69;Hungary;Central and Eastern Europe;5,62000;7,10126;0,71013;69;0,35751;0,10160;0,04871;2018
4;Iceland;Western Europe;7,49520;8,14589;0,81459;73;0,93378;0,59112;0,30203;2018
133;India;South Asia;4,18980;4,37378;0,43738;64;0,74442;0,28815;0,20391;2018
96;Indonesia;Southeast Asia;5,09260;5,45189;0,54519;64;0,74282;0,80999;0,03858;2018
106;Iran;Middle East and North Africa;4,70660;6,41904;0,64190;68;0,63405;0,47256;0,28289;2018
